case_id,category,turn,user_input,assistant_reply,http_status,elapsed_seconds,model_status,stage,product,product_state,order,order_status,warranty,dealer,emotion,scope,knowledge_source,troubleshooting,allowed,forbidden,reasons,cards
C01,产品歧义,1,My S1 Pro is broken. Can you help?,S1 Pro 有吸奶器和扫地机两种产品，请确认是哪一种。,200,1.054,OK,,未确定,CONFLICTED,未提供,NOT_PROVIDED,UNKNOWN,UNKNOWN,NORMAL,IN_SCOPE,NONE,NOT_STARTED,ask_product;search_knowledge,propose_replacement;direct_refund,产品未确认：不允许任何售后办理动作,[]
C02,SKU消歧+故障排障,1,My S1 Pro breast pump has no suction. Order ORD-2001.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,200,1.482,OK,,eufy Breast Pump S1 Pro,FIXTURE_MATCHED,ORD-2001,FOUND,VALID,AUTHORIZED,NORMAL,IN_SCOPE,suction_failure,NOT_STARTED,search_knowledge;run_troubleshooting;escalate_human,direct_refund;propose_replacement,,"[{""body"": ""1. Clean and re-seat the silicone membrane.\n2. Check duckbill valve for cracks.\n3. Confirm flange size fits.\n4. Switch to a higher suction level."", ""title"": ""模拟知识条目：Not sucking / suction loss""}]"
C03,SKU消歧+故障排障,1,My S1 Pro robot vacuum won't charge. Order ORD-2002.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,200,1.069,OK,,eufy Robot Vacuum S1 Pro,FIXTURE_MATCHED,ORD-2002,FOUND,VALID,AUTHORIZED,NORMAL,IN_SCOPE,not_charging,NOT_STARTED,search_knowledge;run_troubleshooting;escalate_human,direct_refund;propose_replacement,,"[{""body"": ""1. Wipe charging contacts on robot and dock.\n2. Clear the dock path and move it near the router.\n3. Check dock power cable.\n4. Hold power 10s to reboot."", ""title"": ""模拟知识条目：Not charging / won't dock""}]"
C04,用户陈述与订单冲突,1,My breast pump is leaking; order ORD-2002.,你描述的产品与模拟订单中的 SKU 不一致。请确认产品型号并提供购买凭证；本轮不判断质保或办理资格。,200,1.248,OK,,未确定,CONFLICTED,ORD-2002,FOUND,PENDING_RECHECK,AUTHORIZED,NORMAL,IN_SCOPE,NONE,NOT_STARTED,ask_product;search_knowledge,propose_replacement;direct_refund,用户所述产品与模拟订单 SKU 冲突：需核对购买凭证；产品未确认：不允许任何售后办理动作,[]
C05,查无订单,1,I want a replacement for order ORD-9999.,收到，你想申请换货。你刚提供的订单号 ORD-9999在模拟订单资料中没有匹配到。请确认或更正订单号，并补充购买平台/店铺与购买凭证；查无模拟记录不代表过保，目前也没有提交任何退货、退款或换货。,200,1.164,OK,,未确定,UNKNOWN,ORD-9999,NOT_FOUND,UNKNOWN,UNKNOWN,NORMAL,IN_SCOPE,NONE,NOT_STARTED,ask_product;search_knowledge;ask_order;request_proof,prepare_return_review;prepare_replacement_review;propose_replacement;direct_refund,产品未确认：不允许任何售后办理动作,[]
C06,订单查询/物流字段,1,Where is my order ORD-2006? Please check the carrier and tracking.,我无法查询订单或物流信息，建议您通过购买平台的订单页面查看承运商和追踪详情。如有安克产品使用问题，我很乐意帮忙。,200,2.212,OK,,未确定,UNKNOWN,未提供,NOT_PROVIDED,UNKNOWN,UNKNOWN,,LIGHT_CHAT,NONE,NOT_STARTED,answer_brief_general_question;continue_current_case,change_case_state;direct_refund;propose_replacement,轻量闲聊与售后案件隔离；本轮不修改案件槽位或业务状态,[]
C07,质保判断-过保,1,My power bank is dead. Order ORD-2003. Is it still covered?,已记录 Anker PowerCore 20000。请描述具体症状或错误码；模拟订单 ORD-2003 已查到，归属仍需凭证核对。,200,0.885,OK,,Anker PowerCore 20000,FIXTURE_MATCHED,ORD-2003,FOUND,EXPIRED,AUTHORIZED,NORMAL,IN_SCOPE,NONE,NOT_STARTED,search_knowledge;run_troubleshooting;escalate_human;propose_paid_repair,propose_replacement;direct_refund,已过保：免费换货/退款均不可用,[]
C08,故障知识检索,1,My X10 mop isn't washing and the base shows an error. Order ORD-2005.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,200,1.0,OK,,eufy Robot Vacuum X10,FIXTURE_MATCHED,ORD-2005,FOUND,VALID,AUTHORIZED,NORMAL,IN_SCOPE,self_clean_error,NOT_STARTED,search_knowledge;run_troubleshooting;escalate_human,direct_refund;propose_replacement,,"[{""body"": ""1. Empty/clean the dirty water tank.\n2. Refill clean water.\n3. Run a self-clean cycle from the app."", ""title"": ""模拟知识条目：Self-clean base error""}]"
C09,無订单产品识别,1,My security camera keeps going offline.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,200,1.261,OK,,eufyCam S220,PROBABLE,未提供,NOT_PROVIDED,UNKNOWN,UNKNOWN,NORMAL,IN_SCOPE,offline,NOT_STARTED,search_knowledge;run_troubleshooting;escalate_human;ask_country;ask_seller;request_proof;ask_order,propose_replacement;direct_refund;tell_expired;prepare_return_review;prepare_replacement_review,订单未核实或购买日期待重核：禁止判定过保或承诺办理,"[{""body"": ""1. Check the hub is online.\n2. Reboot the camera.\n3. Move the hub closer to the camera."", ""title"": ""模拟知识条目：Camera goes offline""}]"
C10,非授权经销商分流,1,My camera is offline. Order ORD-2014. Can Anker replace it?,我查到模拟订单记录中的卖家是 Small Reseller FR，但它未匹配到对应国家的授权经销商名录。当前订单归属仍需购买凭证核实，官方演示不能代替商家受理换货；请先联系购买店铺，或提供凭证供人工核验。目前没有提交任何办理。,200,1.245,OK,,eufyCam S220,FIXTURE_MATCHED,ORD-2014,FOUND,VALID,NOT_AUTHORIZED,NORMAL,IN_SCOPE,offline,NOT_STARTED,search_knowledge;run_troubleshooting;escalate_human;guide_contact_seller,propose_replacement;direct_refund;prepare_return_review;prepare_replacement_review,非授权经销商：引导联系购买渠道，不进入官方保修,[]
