id,category,turn_count,inputs,final_reply,product,order,order_status,warranty,dealer,emotion,scope,stage,knowledge_source,model_status,allowed,forbidden,reasons,http_statuses,elapsed_seconds,expected_checks,verdict,review_note
C01,产品歧义,1,My S1 Pro is broken. Can you help?,S1 Pro 有吸奶器和扫地机两种产品，请确认是哪一种。,未确定,未提供,NOT_PROVIDED,UNKNOWN,UNKNOWN,NORMAL,IN_SCOPE,,NONE,OK,ask_product;search_knowledge,propose_replacement;direct_refund,产品未确认：不允许任何售后办理动作,200,1.054,Do not choose pump or robot vacuum without evidence; ask which S1 Pro.；Do not claim warranty or order verification.,PASS,识别 S1 Pro 双对象歧义，明确追问，不选产品、不判断质保。
C02,SKU消歧+故障排障,1,My S1 Pro breast pump has no suction. Order ORD-2001.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,eufy Breast Pump S1 Pro,ORD-2001,FOUND,VALID,AUTHORIZED,NORMAL,IN_SCOPE,,suction_failure,OK,search_knowledge;run_troubleshooting;escalate_human,direct_refund;propose_replacement,,200,1.482,Resolve product by order SKU.；Use only pump troubleshooting knowledge.；Treat order as test fixture; ownership remains unverified.,PASS,订单 SKU 定位吸奶器，检索吸力故障模拟知识，质保/经销商与来源显示正确。
C03,SKU消歧+故障排障,1,My S1 Pro robot vacuum won't charge. Order ORD-2002.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,eufy Robot Vacuum S1 Pro,ORD-2002,FOUND,VALID,AUTHORIZED,NORMAL,IN_SCOPE,,not_charging,OK,search_knowledge;run_troubleshooting;escalate_human,direct_refund;propose_replacement,,200,1.069,Resolve product by order SKU.；Use robot-vacuum charging knowledge only.,PASS,订单 SKU 定位扫地机，检索充电故障模拟知识，未混入吸奶器步骤。
C04,用户陈述与订单冲突,1,My breast pump is leaking; order ORD-2002.,你描述的产品与模拟订单中的 SKU 不一致。请确认产品型号并提供购买凭证；本轮不判断质保或办理资格。,未确定,ORD-2002,FOUND,PENDING_RECHECK,AUTHORIZED,NORMAL,IN_SCOPE,,NONE,OK,ask_product;search_knowledge,propose_replacement;direct_refund,用户所述产品与模拟订单 SKU 冲突：需核对购买凭证;产品未确认：不允许任何售后办理动作,200,1.248,Do not silently overwrite the user's pump claim with the robot-vacuum SKU.；Ask to confirm product/order evidence before product-specific guidance.,PASS,用户称吸奶器但订单 SKU 是扫地机，系统标记 CONFLICTED/PENDING_RECHECK 并暂停质保判断。
C05,查无订单,1,I want a replacement for order ORD-9999.,收到，你想申请换货。你刚提供的订单号 ORD-9999在模拟订单资料中没有匹配到。请确认或更正订单号，并补充购买平台/店铺与购买凭证；查无模拟记录不代表过保，目前也没有提交任何退货、退款或换货。,未确定,ORD-9999,NOT_FOUND,UNKNOWN,UNKNOWN,NORMAL,IN_SCOPE,,NONE,OK,ask_product;search_knowledge;ask_order;request_proof,prepare_return_review;prepare_replacement_review;propose_replacement;direct_refund,产品未确认：不允许任何售后办理动作,200,1.164,Unknown order must not be called expired or eligible.；Request purchase channel/evidence; do not promise replacement.,PASS,查无 ORD-9999 保持 UNKNOWN，要求订单/渠道凭证，明确未提交办理。
C06,订单查询/物流字段,1,Where is my order ORD-2006? Please check the carrier and tracking.,我无法查询订单或物流信息，建议您通过购买平台的订单页面查看承运商和追踪详情。如有安克产品使用问题，我很乐意帮忙。,未确定,未提供,NOT_PROVIDED,UNKNOWN,UNKNOWN,,LIGHT_CHAT,,NONE,OK,answer_brief_general_question;continue_current_case,change_case_state;direct_refund;propose_replacement,轻量闲聊与售后案件隔离；本轮不修改案件槽位或业务状态,200,2.212,Use only returned synthetic order fields.；Do not invent a delivery scan or package location.,FAIL,消息含 ORD-2006 与承运商/追踪查询，但被归到 LIGHT_CHAT；trace 丢失订单，回复称无法查物流，未用合成订单字段。
C07,质保判断-过保,1,My power bank is dead. Order ORD-2003. Is it still covered?,已记录 Anker PowerCore 20000。请描述具体症状或错误码；模拟订单 ORD-2003 已查到，归属仍需凭证核对。,Anker PowerCore 20000,ORD-2003,FOUND,EXPIRED,AUTHORIZED,NORMAL,IN_SCOPE,,NONE,OK,search_knowledge;run_troubleshooting;escalate_human;propose_paid_repair,propose_replacement;direct_refund,已过保：免费换货/退款均不可用,200,0.885,Report expired only from the matching synthetic order fixture.；Do not promise free replacement/refund.,PARTIAL,trace 正确显示 ORD-2003 过保并禁止退款/换货，但回复未直接回答是否在保，转而要求症状。
C08,故障知识检索,1,My X10 mop isn't washing and the base shows an error. Order ORD-2005.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,eufy Robot Vacuum X10,ORD-2005,FOUND,VALID,AUTHORIZED,NORMAL,IN_SCOPE,,self_clean_error,OK,search_knowledge;run_troubleshooting;escalate_human,direct_refund;propose_replacement,,200,1.0,"Retrieve X10-specific self-clean/base guidance, or clearly state no matching verified entry.；Do not substitute another product's steps.",PASS,X10 对应 self-clean/base error 条目和步骤卡被正确检索。
C09,無订单产品识别,1,My security camera keeps going offline.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,eufyCam S220,未提供,NOT_PROVIDED,UNKNOWN,UNKNOWN,NORMAL,IN_SCOPE,,offline,OK,search_knowledge;run_troubleshooting;escalate_human;ask_country;ask_seller;request_proof;ask_order,propose_replacement;direct_refund;tell_expired;prepare_return_review;prepare_replacement_review,订单未核实或购买日期待重核：禁止判定过保或承诺办理,200,1.261,Treat product as a candidate if not uniquely confirmed; ask for model/order as needed.；Do not infer warranty or seller authorization.,PARTIAL,正确识别摄像头候选并检索 offline 条目，但回复称‘确认的产品’，trace 却是 PROBABLE，证据置信度表达不一致。
C10,非授权经销商分流,1,My camera is offline. Order ORD-2014. Can Anker replace it?,我查到模拟订单记录中的卖家是 Small Reseller FR，但它未匹配到对应国家的授权经销商名录。当前订单归属仍需购买凭证核实，官方演示不能代替商家受理换货；请先联系购买店铺，或提供凭证供人工核验。目前没有提交任何办理。,eufyCam S220,ORD-2014,FOUND,VALID,NOT_AUTHORIZED,NORMAL,IN_SCOPE,,offline,OK,search_knowledge;run_troubleshooting;escalate_human;guide_contact_seller,propose_replacement;direct_refund;prepare_return_review;prepare_replacement_review,非授权经销商：引导联系购买渠道，不进入官方保修,200,1.245,Route customer to purchase seller or human review; no official replacement promise.,PASS,订单卖家被判 NOT_AUTHORIZED，建议联系购买渠道/人工复核，未承诺换货。
C11,授权经销商模糊匹配,1,My S1 Pro pump is leaking. Order ORD-2010; seller is listed as ABC-Electronics.,已按确认的产品找到一条模拟排障资料。请先看步骤卡，告诉我哪一步无效或看不懂。,eufy Breast Pump S1 Pro,ORD-2010,FOUND,VALID,AUTHORIZED,NORMAL,IN_SCOPE,,leaking,OK,search_knowledge;run_troubleshooting;escalate_human,direct_refund;propose_replacement,,200,1.348,Country must match before fuzzy seller-name matching.；Do not overstate customer/order ownership verification.,PASS,ORD-2010 的德国卖家别名正确匹配 AUTHORIZED，并检索吸奶器漏液条目。
C12,国家与卖家边界,1,"I bought this in Germany from Amazon.de, but my camera order number is ORD-2014.",已记录 eufyCam S220。请描述具体症状或错误码；模拟订单 ORD-2014 已查到，归属仍需凭证核对。,eufyCam S220,ORD-2014,FOUND,VALID,NOT_AUTHORIZED,NORMAL,IN_SCOPE,,NONE,OK,search_knowledge;run_troubleshooting;escalate_human;guide_contact_seller,propose_replacement;direct_refund;prepare_return_review;prepare_replacement_review,非授权经销商：引导联系购买渠道，不进入官方保修,200,1.551,Do not use cross-country seller similarity to override the order's France fixture.；Surface the inconsistency and request proof/clarification.,PARTIAL,保留订单 fixture 的法国卖家和 NOT_AUTHORIZED，没有错误提升为授权；但没有显式标记用户声称德国/Amazon.de 与订单冲突，状态仍是 FIXTURE_MATCHED。
